texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"Pesticide Residues in Avocado Hass from Colombia | fruits and vegetables | cypermethrin   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues} | Colombia",CRITIQUE,fruits and vegetables,alert notification,serious,Colombia,2024,3,1
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF ORIGINAL CERTIFICATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Sudan,2024,3,1
Presenza di E.Coli Stec (stx1+)  in formaggio a latte crudo //Presence of E.Coli VTEC (stx1+) in raw milk cheese | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | Italy,CRITIQUE,milk and milk products,information notification for attention,serious,Italy,2024,3,0
"Migration of photoinitiators from packaging into sheep's cheese from Bulgaria | food contact materials | 1-hydroxy-cyclohexyl phenyl ketone  migration - {migration},methyl-2-benzoylbenzoate  migration - {migration} | Bulgaria",ATTENTION,food contact materials,information notification for follow-up,potential risk,Bulgaria,2024,3,0
Potential Sacrosporidium in veal | meat and meat products (other than poultry) |  | Netherlands,ATTENTION,meat and meat products (other than poultry),information notification for follow-up,potential risk,Netherlands,2024,3,0
"Aflatoxin B1 in groundnuts from Paraguay | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
imazalil in fresh lemons from Türkiye | fruits and vegetables | imazalil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
"Aflatoxin B1 in groundnuts from Paraguay | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
imazalil in fresh lemons from Türkiye | fruits and vegetables | imazalil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
Salmonella Agona in sunflower meal  | feed materials | Salmonella Agona  - {pathogenic micro-organisms} | Ukraine,ATTENTION,feed materials,information notification for follow-up,potential risk,Ukraine,2024,3,0
"ochratoxine A in coffee | cocoa and cocoa preparations, coffee and tea | ochratoxin A   - {mycotoxins} | Belgium",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",alert notification,potentially serious,Belgium,2024,3,0
"High level of niacin (nicotinic acid) in food supplement from USA | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,United States,2024,3,1
Norovirus in chilled oysters from the Netherlands | bivalve molluscs and products thereof |  | Netherlands,ATTENTION,bivalve molluscs and products thereof,information notification for attention,potentially serious,Netherlands,2024,3,0
high pesticide residues in peppers | other food product / mixed | imidacloprid   - {pesticide residues} | Morocco,CRITIQUE,other food product / mixed,information notification for attention,serious,Morocco,2024,3,0
ceramic foreign body in bread from Belgium | cereals and bakery products |  | Belgium,CRITIQUE,cereals and bakery products,alert notification,serious,Belgium,2024,3,1
Anthraquinone in ground cardamom | herbs and spices | anthraquinone   - {pesticide residues} | Belgium,CRITIQUE,herbs and spices,alert notification,serious,Belgium,2024,3,1
Pieces of plastic in cheese  | milk and milk products |  | Netherlands,CRITIQUE,milk and milk products,alert notification,serious,Netherlands,2024,3,0
Non authorized feed additive (vit. K1) in pet food | pet food |  | Denmark,ATTENTION,pet food,information notification for follow-up,potential risk,Denmark,2024,3,0
"Aflatoxin B1 in groundnuts from Paraguay | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
"Deoxynivalenol (DON) in corn from South Africa, via the Netherlands | cereals and bakery products | deoxynivalenol (DON)   - {mycotoxins} | South Africa",CRITIQUE,cereals and bakery products,alert notification,serious,South Africa,2024,3,1
Sulphites in shrimps.  | crustaceans and products thereof | sulphite  too high content - {food additives and flavourings} | Bangladesh,CRITIQUE,crustaceans and products thereof,border rejection notification,potentially serious,Bangladesh,2024,3,0
"Unauthorises novel food ingredient and high content of berberin in food supplement  | dietetic foods, food supplements and fortified foods | novel food ingredient  unauthorised - {novel food} | Netherlands",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potentially serious,Netherlands,2024,3,1
"food supplement exceeding upper intake level of zinc | dietetic foods, food supplements and fortified foods | zinc  too high content - {composition} | Netherlands",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potentially serious,Netherlands,2024,3,1
Foreign body (metal wire) in organic cheese from Switzerland | milk and milk products |  | Switzerland,CRITIQUE,milk and milk products,alert notification,serious,Switzerland,2024,3,0
Presence of Norovirus in oysters from France | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | Ireland,ATTENTION,bivalve molluscs and products thereof,information notification for attention,potentially serious,Ireland,2024,3,0
Presenza di Norovirus GII in Mirtilli surgelati  Presence of Norovirus GII in frozen blueberries | fruits and vegetables | norovirus   - {pathogenic micro-organisms} | Germany,CRITIQUE,fruits and vegetables,alert notification,serious,Germany,2024,3,1
Undeclared allergens (crustaceans) in instant noodles from China | prepared dishes and snacks | crustaceans  undeclared - {allergens} | China,CRITIQUE,prepared dishes and snacks,information notification for attention,serious,China,2024,3,0
"Especie vegetal no autorizada en castañas de China. Unauthorized plant species in chestnuts from China. | nuts, nut products and seeds |  | China",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,China,2024,3,1
Salmonella in feed (sunflower cake) from Ukraine | feed materials | Salmonella   - {pathogenic micro-organisms} | Ukraine,INFO,feed materials,information notification for attention,not serious,Ukraine,2024,3,0
Too high content of benzoic acid (E 210) in lemonade from United States | non-alcoholic beverages | E 210 - benzoic acid  too high content - {food additives and flavourings} | United States,INFO,non-alcoholic beverages,information notification for attention,not serious,United States,2024,3,0
"Undeclared allergen (egg) and chicken DNA in chicken flavored granular broth from China via Hong Kong | other food product / mixed | egg  undeclared - {allergens},protein poultry  - {composition} | China",CRITIQUE,other food product / mixed,alert notification,serious,China,2024,3,0
Salmonella spp. in vegan granulated soya-based meat substitute from Germany | other food product / mixed |  | Germany,CRITIQUE,other food product / mixed,alert notification,serious,Germany,2024,3,0
"Aflatoxin in pistachios from Türkiye | nuts, nut products and seeds | aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Türkiye,2024,3,1
"Aflatoxin B1 and total aflatoxins in dried figs from Turkiye. | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
Unauthorised novel food- extract of mushrooms Trametes Versicolor | fruits and vegetables |  | China,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,China,2024,3,1
"Aflatoxins in peanuts inshell from Egypt  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Egypt",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Egypt,2024,3,1
"Afatoxin in Paraquayan groundnutkernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
imazalil in fresh lemons from Turkey | fruits and vegetables | imazalil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
imazalil in fresh lemons from Turkey | fruits and vegetables | imazalil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
imazalil in fresh lemons from Turkey | fruits and vegetables | imazalil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
"Residues of unauthorized  pesticides Iprodione and Propargite in fresh Red Peppers (capsicum annuum) from Egypt | fruits and vegetables | iprodione   - {pesticide residues},propargite   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,not serious,Egypt,2024,3,1
Metal pieces in bread | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2024,3,1
Salmonella spp in fresh chicken fillet from PL via EE to FI | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2024,3,0
"High content of cyanide in linseed flour from Begium, via France | nuts, nut products and seeds | cyanide  high content - {biological contaminants} | Belgium",CRITIQUE,"nuts, nut products and seeds",alert notification,potentially serious,Belgium,2024,3,1
"Salmonella spp present in 3 out of 5 samples in raw, frozen pork. | meat and meat products (other than poultry) | Salmonella spp   - {pathogenic micro-organisms} | Spain",INFO,meat and meat products (other than poultry),information notification for follow-up,not serious,Spain,2024,3,0
Acetamiprid in pomegranate from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Türkiye,2024,3,1
Undeclared allergen in fresh pizza | prepared dishes and snacks |  | Italy,CRITIQUE,prepared dishes and snacks,alert notification,serious,Italy,2024,3,0
"aflatoxins (B1 = 48.6; Tot. = 54.8 µg/kg - ppb) in groundnuts in shell from Egypt | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Egypt",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Egypt,2024,3,1
"Aflatoxin in Groundnutkernels from Paraguay | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
"Unauthorized use of Sorbic acid E200 and  Benzoic acid  E210 in Mango Nectar from Egypt   | non-alcoholic beverages | E 200 - sorbic acid  unauthorised - {food additives and flavourings},E 210 - benzoic acid  unauthorised - {food additives and flavourings} | Egypt",CRITIQUE,non-alcoholic beverages,border rejection notification,not serious,Egypt,2024,3,0
